source_hgnc_id,source_hgnc_symbol,source_uniprot_id,relation,target_hgnc_id,target_hgnc_symbol,target_uniprot_id,stmt_hash,evidence_count,source_counts
587,APEX1,P27695,IncreaseAmount,959,BAX,Q07812,24334630571467942,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,959,BAX,Q07812,8838675694832728,3,"{""reach"": 3}"
587,APEX1,P27695,IncreaseAmount,959,BAX,Q07812,16305799649489588,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,959,BAX,Q07812,-24845112983124642,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,959,BAX,Q07812,-20092993156222888,2,"{""reach"": 2}"
587,APEX1,P27695,DecreaseAmount,9437,EIF2AK2,P19525,186938375091555,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,8804,PDGFRB,P09619,-1938796455379073,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,7794,NFKB1,P19838,6288336214990482,1,"{""trrust"": 1}"
587,APEX1,P27695,DecreaseAmount,7329,MSH6,P52701,-33409026644027097,2,"{""reach"": 2}"
587,APEX1,P27695,IncreaseAmount,7329,MSH6,P52701,26780994128587428,2,"{""reach"": 2}"
587,APEX1,P27695,IncreaseAmount,7325,MSH2,P43246,-18422953530737116,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,7211,MPG,P29372,31820033714163623,2,"{""medscan"": 2}"
587,APEX1,P27695,IncreaseAmount,7160,MMP14,P50281,-24812976432270349,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,7160,MMP14,P50281,6361514480604736,5,"{""reach"": 5}"
587,APEX1,P27695,IncreaseAmount,620,APP,P05067,3923585328766495,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,5344,ICAM1,P05362,-28874699750394622,2,"{""reach"": 2}"
587,APEX1,P27695,IncreaseAmount,5344,ICAM1,P05362,14645716865577814,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,5238,HSPA5,P11021,13691671390935335,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,5013,HMOX1,P09601,-2019852228630053,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,5013,HMOX1,P09601,24339379872457911,2,"{""reach"": 2}"
587,APEX1,P27695,DecreaseAmount,4739,H2AX,P16104,4664896000388738,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,40,ABCB1,P08183,28229962498831238,2,"{""reach"": 2}"
587,APEX1,P27695,IncreaseAmount,40,ABCB1,P08183,-3599941060172398,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,40,ABCB1,P08183,-15519208651132555,2,"{""reach"": 2}"
587,APEX1,P27695,IncreaseAmount,40,ABCB1,P08183,4331495497917697,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,2976,DNMT1,P26358,13521999220985130,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,2976,DNMT1,P26358,14833842640022146,3,"{""reach"": 3}"
587,APEX1,P27695,IncreaseAmount,2976,DNMT1,P26358,15835387223589329,4,"{""reach"": 4}"
587,APEX1,P27695,IncreaseAmount,2976,DNMT1,P26358,-21396239952847643,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,2874,NQO1,P15559,-20616429306020659,2,"{""reach"": 2}"
587,APEX1,P27695,DecreaseAmount,270,PARP1,P09874,-13930477564590725,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,270,PARP1,P09874,-13031599323497765,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,2605,CYP27A1,Q02318,26764719252303137,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,24265,PTRH2,Q9Y3E5,-30494418881482864,1,"{""medscan"": 1}"
587,APEX1,P27695,IncreaseAmount,19986,CYCS,P99999,-6543036128971404,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,19986,CYCS,P99999,-23469432907275802,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,19986,CYCS,P99999,-17374328780070010,2,"{""medscan"": 1, ""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,1833,CEBPA,P49715,29760478864152693,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,1681,CD44,P16070,34242421424534040,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,1516,CAT,P04040,21201903643645506,2,"{""reach"": 2}"
587,APEX1,P27695,DecreaseAmount,12828,XRCC1,P18887,-4685515423756770,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,12828,XRCC1,P18887,2636473524639514,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,12692,VIM,P08670,10842933896426305,4,"{""reach"": 4}"
587,APEX1,P27695,IncreaseAmount,12692,VIM,P08670,23826696697302913,3,"{""reach"": 3}"
587,APEX1,P27695,DecreaseAmount,11597,TBX2,Q13207,7539994111289810,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,11364,STAT3,P40763,-4833976032593901,3,"{""reach"": 2, ""medscan"": 1}"
587,APEX1,P27695,IncreaseAmount,11327,SSRP1,Q08945,9379702083769812,1,"{""reach"": 1}"
587,APEX1,P27695,DecreaseAmount,11280,SQSTM1,Q13501,-23254259353136815,1,"{""reach"": 1}"
587,APEX1,P27695,IncreaseAmount,11179,SOD1,P00441,-34720313608549703,1,"{""reach"": 1}"
12435,TXN,P10599,IncreaseAmount,587,APEX1,P27695,-15479437154676356,1,"{""reach"": 1}"
3312,ELAVL1,Q15717,DecreaseAmount,4983,HMGB1,P09429,18110353636219523,1,"{""reach"": 1}"
3312,ELAVL1,Q15717,IncreaseAmount,4983,HMGB1,P09429,-7576539669700609,9,"{""reach"": 9}"
3052,DSP,P15924,IncreaseAmount,4983,HMGB1,P09429,30402174018365570,1,"{""reach"": 1}"
485,ANGPT2,O15123,IncreaseAmount,587,APEX1,P27695,-4131320206284225,5,"{""reach"": 5}"
3309,ELANE,P08246,IncreaseAmount,4983,HMGB1,P09429,4345317416334348,3,"{""reach"": 3}"
3309,ELANE,P08246,IncreaseAmount,4931,HLA-A,P04439,-30349862290328628,1,"{""reach"": 1}"
8548,P4HB,P07237,IncreaseAmount,587,APEX1,P27695,-17730472430837435,1,"{""reach"": 1}"
4071,GABPA,Q06546,DecreaseAmount,9847,RANBP1,P43487,22995285960575168,2,"{""biopax"": 2}"
30292,G3BP1,Q13283,DecreaseAmount,6743,CAPRIN1,Q14444,-12425951749332640,1,"{""reach"": 1}"
5022,FOXA2,Q9Y261,DecreaseAmount,19074,THOC5,Q13769,-3746513964989935,1,"{""biopax"": 1}"
11634,TCF4,P15884,DecreaseAmount,1917,CHD2,O14647,-25822581939576609,1,"{""biopax"": 1}"
1968,LYST,Q99698,DecreaseAmount,4983,HMGB1,P09429,-7691817840515345,1,"{""reach"": 1}"
24517,NOC2L,Q9Y3T9,IncreaseAmount,4983,HMGB1,P09429,17896232985867610,1,"{""reach"": 1}"
8630,PEBP1,P30086,IncreaseAmount,4983,HMGB1,P09429,-19107881625408766,1,"{""reach"": 1}"
959,BAX,Q07812,DecreaseAmount,587,APEX1,P27695,8929789507255897,1,"{""reach"": 1}"
2091,CLTB,P09497,DecreaseAmount,587,APEX1,P27695,9234473508527889,3,"{""reach"": 3}"
11005,SLC2A1,P11166,IncreaseAmount,4983,HMGB1,P09429,17656882566309300,1,"{""sparser"": 1}"
4023,FXR1,P51114,IncreaseAmount,6950,MCM7,P33993,-29411803055011746,1,"{""reach"": 1}"
10420,RPS3,P23396,IncreaseAmount,4983,HMGB1,P09429,-33582452914277865,1,"{""reach"": 1}"
10420,RPS3,P23396,DecreaseAmount,1874,CFL1,P23528,-32323707878355048,1,"{""reach"": 1}"
12511,UBTF,P17480,DecreaseAmount,4983,HMGB1,P09429,-9917806003414864,1,"{""reach"": 1}"
69,ABCE1,P61221,DecreaseAmount,4931,HLA-A,P04439,21786559197077267,1,"{""medscan"": 1}"
6881,MAPK8,P45983,IncreaseAmount,4983,HMGB1,P09429,-34015722906759048,1,"{""reach"": 1}"
29676,PUM3,Q15397,IncreaseAmount,4983,HMGB1,P09429,33976761844308376,1,"{""reach"": 1}"
7097,MIF,P14174,IncreaseAmount,4983,HMGB1,P09429,29980415471395575,1,"{""reach"": 1}"
7097,MIF,P14174,IncreaseAmount,4983,HMGB1,P09429,-23008492419675308,15,"{""reach"": 15}"
7097,MIF,P14174,DecreaseAmount,4983,HMGB1,P09429,-28857888471239789,4,"{""reach"": 4}"
16369,PARK7,Q99497,IncreaseAmount,10774,SFPQ,P23246,10440083879800474,1,"{""medscan"": 1}"
8596,PAM,P19021,IncreaseAmount,4983,HMGB1,P09429,32424951369921106,1,"{""reach"": 1}"
3277,EIF3E,P60228,IncreaseAmount,6950,MCM7,P33993,-25322206798500108,1,"{""signor"": 1}"
3287,EIF4E,P06730,IncreaseAmount,9847,RANBP1,P43487,-5731728090820880,1,"{""reach"": 1}"
3287,EIF4E,P06730,IncreaseAmount,9847,RANBP1,P43487,-7856264456095745,1,"{""reach"": 1}"
3287,EIF4E,P06730,DecreaseAmount,9847,RANBP1,P43487,24698749341862997,1,"{""medscan"": 1}"
10774,SFPQ,P23246,DecreaseAmount,9666,PTPRC,P08575,-29843629416861099,1,"{""medscan"": 1}"
10774,SFPQ,P23246,DecreaseAmount,8596,PAM,P19021,35149740913239965,1,"{""reach"": 1}"
10774,SFPQ,P23246,IncreaseAmount,6172,STT3A,P46977,35237649897461491,1,"{""reach"": 1}"
10774,SFPQ,P23246,IncreaseAmount,5013,HMOX1,P09601,-14931079149145122,1,"{""reach"": 1}"
10774,SFPQ,P23246,DecreaseAmount,3062,DUOX1,Q9NRD9,-3113763506503608,1,"{""reach"": 1}"
10774,SFPQ,P23246,IncreaseAmount,12672,VDAC2,P45880,23454749670185471,1,"{""reach"": 1}"
10774,SFPQ,P23246,IncreaseAmount,10769,SF3B2,Q13435,7917267856053370,1,"{""reach"": 1}"
1516,CAT,P04040,IncreaseAmount,587,APEX1,P27695,22277403843305010,1,"{""reach"": 1}"
1516,CAT,P04040,DecreaseAmount,4983,HMGB1,P09429,-10940540202632156,1,"{""reach"": 1}"
9629,PTMS,P20962,IncreaseAmount,4983,HMGB1,P09429,27297400650736527,1,"{""reach"": 1}"
12856,YY1,P25490,DecreaseAmount,9910,RBMX,P38159,20897956365421461,2,"{""biopax"": 2}"
12856,YY1,P25490,DecreaseAmount,1917,CHD2,O14647,8774265465265914,2,"{""biopax"": 2}"
12856,YY1,P25490,DecreaseAmount,10774,SFPQ,P23246,-32706541870898651,2,"{""biopax"": 2}"
8064,NUP214,P35658,IncreaseAmount,4931,HLA-A,P04439,2817022693018704,1,"{""reach"": 1}"
4852,HDAC1,Q13547,DecreaseAmount,4983,HMGB1,P09429,23838536948816923,1,"{""reach"": 1}"
2348,CREBBP,Q92793,IncreaseAmount,587,APEX1,P27695,-21458995229153760,1,"{""reach"": 1}"
2348,CREBBP,Q92793,IncreaseAmount,4983,HMGB1,P09429,3954260368833764,2,"{""reach"": 2}"
9839,RALA,P11233,IncreaseAmount,4983,HMGB1,P09429,-34634013099973056,1,"{""reach"": 1}"
1833,CEBPA,P49715,DecreaseAmount,1917,CHD2,O14647,-4689045124113130,3,"{""biopax"": 3}"
