source_hgnc_id,source_hgnc_symbol,relation,target_hgnc_id,target_hgnc_symbol,stmt_hash,evidence_count,source_counts
6348,KLF4,IncreaseAmount,4983,HMGB1,-30139696303514177,2,"{""reach"": 2}"
6348,KLF4,DecreaseAmount,4983,HMGB1,-34979606876808733,1,"{""reach"": 1}"
6348,KLF4,IncreaseAmount,4983,HMGB1,2122769481368420,14,"{""medscan"": 5, ""reach"": 9}"
6081,INS,IncreaseAmount,4983,HMGB1,-10796221526001969,2,"{""reach"": 2}"
6081,INS,DecreaseAmount,4983,HMGB1,18503852217123304,3,"{""reach"": 3}"
5187,PRMT1,IncreaseAmount,4931,HLA-A,-21984618508359872,1,"{""reach"": 1}"
5021,FOXA1,DecreaseAmount,1917,CHD2,-32274714679529479,1,"{""biopax"": 1}"
4910,HIF1A,IncreaseAmount,13606,KDM2A,-3962960187177714,1,"{""signor"": 1}"
4910,HIF1A,IncreaseAmount,13606,KDM2A,-10556527949973417,1,"{""reach"": 1}"
4647,GTF2A2,DecreaseAmount,19180,RNF44,-25512482692596167,1,"{""biopax"": 1}"
4647,GTF2A2,DecreaseAmount,574,AP4M1,10487328876586423,1,"{""biopax"": 1}"
4646,GTF2A1,DecreaseAmount,19180,RNF44,-5811717946164384,1,"{""biopax"": 1}"
4646,GTF2A1,DecreaseAmount,574,AP4M1,19974687736011664,1,"{""biopax"": 1}"
43,TAP1,IncreaseAmount,4931,HLA-A,-34651220524227733,2,"{""medscan"": 1, ""reach"": 1}"
43,TAP1,DecreaseAmount,4931,HLA-A,-32953920144302431,1,"{""medscan"": 1}"
3821,FOXO3,DecreaseAmount,1917,CHD2,-2096976764842765,1,"{""biopax"": 1}"
3819,FOXO1,DecreaseAmount,1917,CHD2,-9018144306879595,1,"{""biopax"": 1}"
3810,FOXF2,DecreaseAmount,1917,CHD2,-3083394769982296,2,"{""biopax"": 2}"
3800,FOXC1,DecreaseAmount,574,AP4M1,29713743372694985,1,"{""biopax"": 1}"
3541,F3,IncreaseAmount,4983,HMGB1,-13795044432011205,1,"{""reach"": 1}"
3374,EPAS1,IncreaseAmount,13606,KDM2A,-1366818696658654,1,"{""signor"": 1}"
3321,ELK1,DecreaseAmount,12397,TTF1,27483996044880577,1,"{""biopax"": 1}"
3238,EGR1,DecreaseAmount,13606,KDM2A,-20792755065572432,1,"{""biopax"": 1}"
