source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts	reason_added	source_observed	target_observed
2047	CLDN5	DecreaseAmount	667	RHOA	33378245377101797	1	"{""reach"": 1}"	mediator	False	True
1835	CEBPD	DecreaseAmount	667	RHOA	-3163707938194890	4	"{""reach"": 4}"	mediator	False	True
1835	CEBPD	DecreaseAmount	667	RHOA	14754115424225657	2	"{""reach"": 2}"	mediator	False	True
7910	NPM1	IncreaseAmount	18314	RND1	-15249843443788326	1	"{""reach"": 1}"	mediator	True	False
18314	RND1	DecreaseAmount	667	RHOA	-32191306210363960	2	"{""reach"": 2}"	mediator	False	True
12518	UCP2	DecreaseAmount	18129	GHRL	10240359683294826	1	"{""reach"": 1}"	mediator	True	False
18129	GHRL	IncreaseAmount	667	RHOA	17803963386705052	1	"{""reach"": 1}"	mediator	False	True
8014	YBX1	IncreaseAmount	1791	CDKN3	-24867249368151132	1	"{""trrust"": 1}"	mediator	True	False
1791	CDKN3	IncreaseAmount	667	RHOA	-23599592940862768	1	"{""medscan"": 1}"	mediator	False	True
7910	NPM1	IncreaseAmount	1785	CDKN1B	-35410303871033882	2	"{""reach"": 2}"	mediator	True	False
1785	CDKN1B	DecreaseAmount	667	RHOA	-27841240884624996	1	"{""reach"": 1}"	mediator	False	True
4912	HINT1	IncreaseAmount	1785	CDKN1B	28182022013696130	1	"{""reach"": 1}"	mediator	True	False
4912	HINT1	IncreaseAmount	1785	CDKN1B	19526915159208964	4	"{""reach"": 3, ""medscan"": 1}"	mediator	True	False
4852	HDAC1	DecreaseAmount	1785	CDKN1B	-5424158585447052	6	"{""reach"": 5, ""medscan"": 1}"	mediator	True	False
3297	EIF4G2	IncreaseAmount	1785	CDKN1B	-22597322082280429	1	"{""reach"": 1}"	mediator	True	False
12855	YWHAZ	IncreaseAmount	1785	CDKN1B	2936512494849970	3	"{""reach"": 3}"	mediator	True	False
12855	YWHAZ	DecreaseAmount	1785	CDKN1B	21272111000908320	1	"{""reach"": 1}"	mediator	True	False
4852	HDAC1	DecreaseAmount	19353	SIN3A	-10895467128928677	1	"{""reach"": 1}"	mediator	True	False
19353	SIN3A	IncreaseAmount	667	RHOA	35357238020727374	1	"{""reach"": 1}"	mediator	False	True
1784	CDKN1A	IncreaseAmount	667	RHOA	-27490753739881573	1	"{""reach"": 1}"	mediator	False	True
17635	CD274	IncreaseAmount	667	RHOA	3955697083906135	1	"{""reach"": 1}"	mediator	False	True
7910	NPM1	IncreaseAmount	17635	CD274	-21401388673181918	1	"{""reach"": 1}"	mediator	True	False
7910	NPM1	IncreaseAmount	17635	CD274	-4259759022788454	1	"{""reach"": 1}"	mediator	True	False
7910	NPM1	DecreaseAmount	17635	CD274	-23256249480261905	2	"{""reach"": 2}"	mediator	True	False
7910	NPM1	IncreaseAmount	17635	CD274	-10524256510007085	2	"{""reach"": 2}"	mediator	True	False
7910	NPM1	IncreaseAmount	17635	CD274	22850475193944791	1	"{""reach"": 1}"	mediator	True	False
7910	NPM1	IncreaseAmount	17635	CD274	-16966947809216918	13	"{""reach"": 12, ""trips"": 1}"	mediator	True	False
1787	CDKN2A	IncreaseAmount	667	RHOA	22427559570519957	1	"{""reach"": 1}"	mediator	False	True
1748	CDH1	DecreaseAmount	667	RHOA	32648457093130435	2	"{""reach"": 2}"	mediator	False	True
786	ATF4	IncreaseAmount	1736	CDC42	-21329714583138036	1	"{""reach"": 1}"	mediator	True	False
1736	CDC42	DecreaseAmount	667	RHOA	9575352706321210	2	"{""reach"": 2}"	mediator	False	True
786	ATF4	DecreaseAmount	1736	CDC42	31718736817964381	1	"{""reach"": 1}"	mediator	True	False
786	ATF4	IncreaseAmount	1736	CDC42	-25380918647301793	1	"{""reach"": 1}"	mediator	True	False
4399	RACK1	IncreaseAmount	1705	CD86	14485479740159232	6	"{""medscan"": 1, ""reach"": 5}"	mediator	True	False
